city_town,ward,precinct,Biden/ Harris,Trump/ Pence,Jorgensen/ Cohen,Hawkins/ Walker,All Others,No Preference,Blanks,Total Votes Cast
Boston,5,10,956,161,15,9,14,0,5,1160
Boston,5,11,778,114,11,1,11,0,5,920
Boston,6,1,4057,1016,72,19,29,0,30,5223
Boston,6,2,795,239,21,4,9,0,4,1072
Boston,6,3,1177,378,20,3,8,0,9,1595
Boston,6,4,1078,399,20,7,11,0,6,1521
Boston,6,5,1121,388,22,7,8,0,10,1556
Boston,6,6,820,411,21,3,7,0,4,1266
Boston,6,7,948,430,21,0,17,0,7,1423
Boston,6,8,823,419,19,4,7,0,5,1277
Boston,6,9,751,471,18,3,15,0,3,1261
Boston,7,1,731,383,12,1,8,0,9,1144
Boston,7,2,981,460,19,0,10,0,8,1478
Boston,7,3,1015,471,21,0,8,0,4,1519
Boston,7,4,933,359,18,4,4,0,2,1320
Boston,7,5,841,229,16,5,7,0,3,1101
Boston,7,6,763,259,21,0,7,0,3,1053
Boston,7,7,613,149,3,2,0,0,0,767
Boston,7,8,815,228,11,9,8,0,4,1075
Boston,7,9,659,184,12,6,2,0,3,866
Boston,7,10,700,72,3,2,1,0,4,782
Boston,8,1,841,95,5,1,3,0,4,949
Boston,8,2,1436,148,16,3,4,0,18,1625
Boston,8,3,676,64,4,5,3,0,4,756
Boston,8,4,416,36,5,1,2,0,4,464
Boston,8,5,784,79,7,2,4,0,2,878
Boston,8,6,300,35,3,3,1,0,1,343
Boston,8,7,603,38,3,6,0,0,4,654
Boston,9,1,1129,140,9,5,8,0,8,1299
Boston,9,2,1516,120,17,11,7,0,4,1675
Boston,9,3,1797,142,7,7,4,0,7,1964
Boston,9,4,1133,107,5,6,1,0,4,1256
Boston,9,5,1337,73,6,6,6,0,13,1441
Boston,10,1,608,58,1,4,1,0,1,673
Boston,10,2,548,66,3,3,4,0,2,626
Boston,10,3,522,60,6,3,2,0,5,598
Boston,10,4,995,207,7,8,4,0,5,1226
Boston,10,5,682,72,11,7,8,0,5,785
Boston,10,6,775,74,10,9,11,0,1,880
Boston,10,7,991,72,3,3,6,0,11,1086
Boston,10,8,1303,106,8,15,11,0,12,1455
Boston,10,9,1509,79,17,11,9,0,2,1627
Boston,11,1,634,34,6,8,3,0,3,688
Boston,11,2,1021,59,0,3,5,0,6,1094
Boston,11,3,787,58,3,8,0,0,4,860
Boston,11,4,1252,73,7,18,10,0,9,1369
Boston,11,5,1078,95,4,10,4,0,3,1194
Boston,11,6,907,45,9,12,2,0,3,978
Boston,11,7,1101,80,6,9,5,0,1,1202
Boston,11,8,1536,78,14,11,8,0,10,1657
Boston,11,9,797,48,4,14,2,0,0,865
Boston,11,10,1024,40,8,8,2,0,7,1089
Boston,12,1,1037,61,8,6,3,0,7,1122
Boston,12,2,1285,77,6,5,6,0,10,1389
Boston,12,3,529,33,2,3,1,0,0,568
Boston,12,4,718,54,2,5,1,0,7,787
Boston,12,5,481,24,0,0,2,0,5,512
Boston,12,6,597,43,3,5,0,0,9,657
Boston,12,7,1300,97,8,5,11,0,9,1430
Boston,12,8,503,32,2,1,0,0,2,540
Boston,12,9,655,37,3,2,2,0,7,706
Boston,13,1,839,67,3,4,5,0,10,928
Boston,13,2,346,33,3,1,3,0,0,386
Boston,13,3,761,126,12,6,9,0,1,915
Boston,13,4,616,56,3,2,1,0,4,682
Boston,13,5,595,51,10,2,2,0,1,661
Boston,13,6,807,108,6,8,5,0,3,937
Boston,13,7,820,268,9,8,3,0,4,1112
Boston,13,8,732,219,5,9,9,0,5,979
Boston,13,9,843,206,6,5,3,0,2,1065
Boston,13,10,1027,360,18,10,9,0,7,1431
Boston,14,1,1361,109,8,5,4,0,11,1498
