city_town,ward,precinct,Maura Healey,Geoff Diehl,Kevin Reed,All Others,Blanks,Total Votes Cast
Boston,15,3,156,13,1,2,7,179
Boston,15,4,410,70,9,2,11,502
Boston,15,5,324,28,5,0,5,362
Boston,15,6,240,110,5,0,7,362
Boston,15,7,302,23,3,0,7,335
Boston,15,8,224,85,8,1,6,324
Boston,15,9,244,80,8,0,4,336
Boston,16,1,278,78,10,1,8,375
Boston,16,2,302,125,8,3,5,443
Boston,16,3,433,90,5,1,13,542
Boston,16,4,397,100,10,0,9,516
Boston,16,5,470,145,2,2,3,622
Boston,16,6,609,140,15,1,7,772
Boston,16,7,426,243,8,1,13,691
Boston,16,8,749,306,20,0,17,1092
Boston,16,9,478,392,9,1,15,895
Boston,16,10,395,267,8,2,9,681
Boston,16,11,323,164,4,1,3,495
Boston,16,12,395,419,9,1,13,837
Boston,17,1,335,35,2,1,7,380
Boston,17,2,245,36,3,0,6,290
Boston,17,3,632,51,6,2,9,700
Boston,17,4,769,116,7,1,10,903
Boston,17,5,231,15,6,0,9,261
Boston,17,6,482,43,8,0,9,542
Boston,17,7,257,15,4,0,5,281
Boston,17,8,396,21,6,0,10,433
Boston,17,9,451,28,4,0,7,490
Boston,17,10,487,31,11,3,7,539
Boston,17,11,220,18,0,0,5,243
Boston,17,12,393,22,3,1,5,424
Boston,17,13,548,111,9,1,6,675
Boston,17,14,601,88,9,0,17,715
Boston,18,1,774,46,10,1,14,845
Boston,18,2,518,29,9,1,4,561
Boston,18,3,590,32,4,0,5,631
Boston,18,4,619,29,5,0,10,663
Boston,18,5,666,44,12,2,9,733
Boston,18,6,845,49,10,0,14,918
Boston,18,7,571,105,4,0,9,689
Boston,18,8,959,119,19,1,22,1120
Boston,18,9,681,121,6,2,12,822
Boston,18,10,1092,158,14,0,15,1279
Boston,18,11,485,50,11,1,11,558
Boston,18,12,612,124,13,1,10,760
Boston,18,13,366,49,4,1,5,425
Boston,18,14,362,57,2,0,4,425
Boston,18,15,574,62,3,1,11,651
Boston,18,16,669,240,11,1,16,937
Boston,18,17,529,140,6,4,12,691
Boston,18,18,650,163,10,2,16,841
Boston,18,19,920,212,16,3,12,1163
Boston,18,20,675,370,15,1,16,1077
Boston,18,21,741,40,8,0,14,803
Boston,18,22,716,270,6,0,12,1004
Boston,18,23,364,44,10,1,9,428
Boston,19,1,784,23,13,1,6,827
Boston,19,2,884,181,9,0,21,1095
Boston,19,3,516,40,6,0,8,570
Boston,19,4,1097,32,6,1,13,1149
Boston,19,5,766,44,10,1,8,829
Boston,19,6,1152,49,10,0,14,1225
Boston,19,7,843,46,14,4,5,912
Boston,19,8,714,56,4,3,2,779
Boston,19,9,510,27,5,2,2,546
Boston,19,10,863,101,15,1,11,991
Boston,19,11,519,59,3,0,9,590
Boston,19,12,671,72,11,1,6,761
Boston,19,13,472,55,8,0,5,540
Boston,20,1,764,180,17,1,4,966
Boston,20,2,763,156,8,2,5,934
Boston,20,3,528,232,8,5,7,780
Boston,20,4,786,83,7,0,13,889
Boston,20,5,634,324,10,3,16,987
Boston,20,6,844,281,17,1,13,1156
Boston,20,7,525,133,7,1,4,670
Boston,20,8,627,140,7,2,2,778
Boston,20,9,621,169,7,3,11,811
Boston,20,10,806,389,19,6,13,1233
Boston,20,11,419,145,10,1,9,584
Boston,20,12,520,210,16,3,7,756
Boston,20,13,424,225,6,1,3,659
Boston,20,14,444,208,8,2,6,668
Boston,20,15,689,367,9,2,11,1078
Boston,20,16,688,441,13,1,10,1153
Boston,20,17,839,440,19,4,8,1310
Boston,20,18,498,158,7,2,13,678
Boston,20,19,485,203,6,0,12,706
Boston,20,20,783,242,20,2,7,1054
Boston,20,21,60,22,2,0,0,84
Boston,21,1,604,64,10,2,12,692
Boston,21,2,144,17,3,0,1,165
Boston,21,3,311,28,1,0,2,342
Boston,21,4,310,24,2,3,3,342
Boston,21,5,516,45,4,3,5,573
Boston,21,6,439,50,8,0,4,501
Boston,21,7,444,69,6,2,4,525
Boston,21,8,682,56,13,1,7,759
Boston,21,9,689,79,8,1,4,781
Boston,21,10,520,65,8,4,9,606
Boston,21,11,664,82,13,2,16,777
Boston,21,12,550,114,10,0,16,690
Boston,21,13,694,205,10,1,13,923
Boston,21,14,408,51,10,0,2,471
Boston,21,15,501,58,10,2,7,578
Boston,21,16,659,118,10,2,10,799
Boston,22,1,677,108,11,1,15,812
Boston,22,2,848,121,14,4,12,999
Boston,22,3,683,158,15,2,7,865
Boston,22,4,602,102,15,1,7,727
Boston,22,5,462,79,11,1,11,564
Boston,22,6,455,80,8,1,3,547
Boston,22,7,630,105,20,1,6,762
Boston,22,8,431,135,9,2,5,582
Boston,22,9,485,154,8,1,8,656
Boston,22,10,633,111,16,3,5,768
Boston,22,11,388,97,8,0,4,497
Boston,22,12,372,102,6,1,3,484
Boston,22,13,345,85,4,2,3,439
Bourne,-,1,653,743,21,0,18,1435
Bourne,-,2,719,725,21,3,10,1478
Bourne,-,3,320,341,13,0,1,675
Bourne,-,4,938,687,26,14,4,1669
Bourne,-,5,703,574,10,0,17,1304
Bourne,-,5A,124,118,4,0,2,248
Bourne,-,6,697,480,18,3,10,1208
Bourne,-,7,610,532,19,4,6,1171
Boxborough,,,1736,668,44,2,20,2470
Boxford,-,1,702,581,34,4,10,1331
Boxford,-,2,815,612,25,7,5,1464
Boxford,-,3,737,601,21,5,8,1372
Boylston,,,1458,1111,42,1,21,2633
Braintree,-,1A,700,587,17,2,9,1315
Braintree,-,1B,567,564,17,1,9,1158
Braintree,-,2A,775,532,16,3,13,1339
Braintree,-,2B,705,558,17,0,12,1292
Braintree,-,3A,598,438,21,3,7,1067
Braintree,-,3B,678,446,24,1,6,1155
Braintree,-,4A,635,505,14,1,14,1169
Braintree,-,4B,631,392,20,0,10,1053
Braintree,-,5A,669,546,20,3,11,1249
Braintree,-,5B,751,563,18,1,16,1349
Braintree,-,6A,793,673,11,3,7,1487
Braintree,-,6B,750,640,19,1,16,1426
Brewster,-,1,1362,730,35,0,13,2140
Brewster,-,2,1281,577,26,1,17,1902
Brewster,-,3,1237,680,21,0,16,1954
Bridgewater,-,1,636,752,19,0,17,1424
Bridgewater,-,2,677,706,23,0,17,1423
Bridgewater,-,3,838,869,14,1,12,1734
Bridgewater,-,4,355,408,14,1,8,786
Bridgewater,-,5,96,42,2,0,2,142
Bridgewater,-,6,454,441,13,0,5,913
Bridgewater,-,7,638,597,17,1,17,1270
Bridgewater,-,8,632,433,18,0,7,1090
