election_id,office,district,candidate_id,name,city_town,ward,precinct,votes
154338,Governor,,77961,Maura Healey,Belmont,-,1,1165
154338,Governor,,77961,Maura Healey,Belmont,-,2,1216
154338,Governor,,77961,Maura Healey,Belmont,-,3,1109
154338,Governor,,77961,Maura Healey,Belmont,-,4,920
154338,Governor,,77961,Maura Healey,Belmont,-,5,1103
154338,Governor,,77961,Maura Healey,Belmont,-,6,1438
154338,Governor,,77961,Maura Healey,Belmont,-,7,1115
154338,Governor,,77961,Maura Healey,Belmont,-,8,977
154338,Governor,,77961,Maura Healey,Berkley,-,1,641
154338,Governor,,77961,Maura Healey,Berkley,-,2,490
154338,Governor,,77961,Maura Healey,Berlin,,,1057
154338,Governor,,77961,Maura Healey,Bernardston,,,640
154338,Governor,,77961,Maura Healey,Beverly,1,1,833
154338,Governor,,77961,Maura Healey,Beverly,1,2,1158
154338,Governor,,77961,Maura Healey,Beverly,2,1,1015
154338,Governor,,77961,Maura Healey,Beverly,2,2,1130
154338,Governor,,77961,Maura Healey,Beverly,3,1,651
154338,Governor,,77961,Maura Healey,Beverly,3,2,879
154338,Governor,,77961,Maura Healey,Beverly,4,1,612
154338,Governor,,77961,Maura Healey,Beverly,4,2,1497
154338,Governor,,77961,Maura Healey,Beverly,5,1,1023
154338,Governor,,77961,Maura Healey,Beverly,5,2,901
154338,Governor,,77961,Maura Healey,Beverly,6,1,1250
154338,Governor,,77961,Maura Healey,Beverly,6,2,1161
154338,Governor,,77961,Maura Healey,Billerica,-,1,676
154338,Governor,,77961,Maura Healey,Billerica,-,2,820
154338,Governor,,77961,Maura Healey,Billerica,-,3,738
154338,Governor,,77961,Maura Healey,Billerica,-,4,678
154338,Governor,,77961,Maura Healey,Billerica,-,5,922
154338,Governor,,77961,Maura Healey,Billerica,-,6,727
154338,Governor,,77961,Maura Healey,Billerica,-,7,807
154338,Governor,,77961,Maura Healey,Billerica,-,8,726
154338,Governor,,77961,Maura Healey,Billerica,-,9,755
154338,Governor,,77961,Maura Healey,Billerica,-,10,837
154338,Governor,,77961,Maura Healey,Billerica,-,11,616
154338,Governor,,77961,Maura Healey,Billerica,-,12,755
154338,Governor,,77961,Maura Healey,Blackstone,-,1,469
154338,Governor,,77961,Maura Healey,Blackstone,-,2,534
154338,Governor,,77961,Maura Healey,Blackstone,-,3,516
154338,Governor,,77961,Maura Healey,Blandford,,,234
154338,Governor,,77961,Maura Healey,Bolton,,,1893
154338,Governor,,77961,Maura Healey,Boston,1,1,578
154338,Governor,,77961,Maura Healey,Boston,1,2,385
154338,Governor,,77961,Maura Healey,Boston,1,3,1140
154338,Governor,,77961,Maura Healey,Boston,1,4,400
154338,Governor,,77961,Maura Healey,Boston,1,5,484
154338,Governor,,77961,Maura Healey,Boston,1,6,386
154338,Governor,,77961,Maura Healey,Boston,1,7,417
154338,Governor,,77961,Maura Healey,Boston,1,8,488
154338,Governor,,77961,Maura Healey,Boston,1,9,375
154338,Governor,,77961,Maura Healey,Boston,1,10,212
154338,Governor,,77961,Maura Healey,Boston,1,11,491
154338,Governor,,77961,Maura Healey,Boston,1,12,407
154338,Governor,,77961,Maura Healey,Boston,1,13,549
154338,Governor,,77961,Maura Healey,Boston,1,14,259
154338,Governor,,77961,Maura Healey,Boston,1,15,0
154338,Governor,,77961,Maura Healey,Boston,2,1,803
154338,Governor,,77961,Maura Healey,Boston,2,2,770
154338,Governor,,77961,Maura Healey,Boston,2,3,920
154338,Governor,,77961,Maura Healey,Boston,2,4,856
154338,Governor,,77961,Maura Healey,Boston,2,5,880
154338,Governor,,77961,Maura Healey,Boston,2,6,709
154338,Governor,,77961,Maura Healey,Boston,2,7,488
154338,Governor,,77961,Maura Healey,Boston,2,8,339
154338,Governor,,77961,Maura Healey,Boston,3,1,666
154338,Governor,,77961,Maura Healey,Boston,3,2,687
154338,Governor,,77961,Maura Healey,Boston,3,3,439
154338,Governor,,77961,Maura Healey,Boston,3,4,449
154338,Governor,,77961,Maura Healey,Boston,3,5,704
154338,Governor,,77961,Maura Healey,Boston,3,6,412
154338,Governor,,77961,Maura Healey,Boston,3,7,797
154338,Governor,,77961,Maura Healey,Boston,3,8,531
154338,Governor,,77961,Maura Healey,Boston,3,9,480
154338,Governor,,77961,Maura Healey,Boston,3,10,738
154338,Governor,,77961,Maura Healey,Boston,3,11,599
154338,Governor,,77961,Maura Healey,Boston,3,12,786
154338,Governor,,77961,Maura Healey,Boston,3,13,437
154338,Governor,,77961,Maura Healey,Boston,3,13A,0
154338,Governor,,77961,Maura Healey,Boston,3,14,644
154338,Governor,,77961,Maura Healey,Boston,3,15,548
154338,Governor,,77961,Maura Healey,Boston,3,16,989
154338,Governor,,77961,Maura Healey,Boston,3,17,532
154338,Governor,,77961,Maura Healey,Boston,4,1,742
154338,Governor,,77961,Maura Healey,Boston,4,2,569
154338,Governor,,77961,Maura Healey,Boston,4,3,862
154338,Governor,,77961,Maura Healey,Boston,4,4,908
154338,Governor,,77961,Maura Healey,Boston,4,5,708
154338,Governor,,77961,Maura Healey,Boston,4,6,552
154338,Governor,,77961,Maura Healey,Boston,4,7,454
154338,Governor,,77961,Maura Healey,Boston,4,8,409
154338,Governor,,77961,Maura Healey,Boston,4,9,106
154338,Governor,,77961,Maura Healey,Boston,4,10,124
154338,Governor,,77961,Maura Healey,Boston,4,10A,0
154338,Governor,,77961,Maura Healey,Boston,4,11,30
154338,Governor,,77961,Maura Healey,Boston,4,12,139
154338,Governor,,77961,Maura Healey,Boston,5,1,409
154338,Governor,,77961,Maura Healey,Boston,5,2,536
154338,Governor,,77961,Maura Healey,Boston,5,3,910
154338,Governor,,77961,Maura Healey,Boston,5,4,497
154338,Governor,,77961,Maura Healey,Boston,5,5,663
154338,Governor,,77961,Maura Healey,Boston,5,6,723
154338,Governor,,77961,Maura Healey,Boston,5,7,893
154338,Governor,,77961,Maura Healey,Boston,5,8,782
154338,Governor,,77961,Maura Healey,Boston,5,9,778
154338,Governor,,77961,Maura Healey,Boston,5,10,349
154338,Governor,,77961,Maura Healey,Boston,5,11,337
154338,Governor,,77961,Maura Healey,Boston,5,12,383
154338,Governor,,77961,Maura Healey,Boston,5,13,683
154338,Governor,,77961,Maura Healey,Boston,5,14,662
154338,Governor,,77961,Maura Healey,Boston,5,15,435
154338,Governor,,77961,Maura Healey,Boston,6,1,816
154338,Governor,,77961,Maura Healey,Boston,6,2,404
154338,Governor,,77961,Maura Healey,Boston,6,3,547
154338,Governor,,77961,Maura Healey,Boston,6,4,397
154338,Governor,,77961,Maura Healey,Boston,6,5,567
154338,Governor,,77961,Maura Healey,Boston,6,6,518
154338,Governor,,77961,Maura Healey,Boston,6,7,491
154338,Governor,,77961,Maura Healey,Boston,6,8,592
154338,Governor,,77961,Maura Healey,Boston,6,9,535
154338,Governor,,77961,Maura Healey,Boston,6,10,473
154338,Governor,,77961,Maura Healey,Boston,6,11,629
154338,Governor,,77961,Maura Healey,Boston,6,12,811
154338,Governor,,77961,Maura Healey,Boston,6,12A,0
154338,Governor,,77961,Maura Healey,Boston,7,1,404
154338,Governor,,77961,Maura Healey,Boston,7,2,573
154338,Governor,,77961,Maura Healey,Boston,7,3,627
154338,Governor,,77961,Maura Healey,Boston,7,4,463
