name,city_town,ward,precinct,gender_female,total_population,race_white,race_black,race_native_american,race_asian,race_hawaiian,race_other,race_multiracial,race_hispanic,total_households,ed_25yrs_older_total,median_age,median_household_income,median_family_income,ancestry_afghan,ancestry_albanian,ancestry_alsatian,ancestry_american,ancestry_arab,ancestry_armenian,ancestry_assyrian,ancestry_australian,ancestry_austrian,ancestry_basque,ancestry_belgian,ancestry_brazilian,ancestry_british,ancestry_bulgarian,ancestry_cajun,ancestry_canadian,ancestry_carpatho_rusyn,ancestry_celtic,ancestry_croatian,ancestry_cypriot,ancestry_czech,ancestry_czechoslovakian,ancestry_danish,ancestry_dutch,ancestry_eastern_european,ancestry_english,ancestry_estonian,ancestry_european,ancestry_finnish,ancestry_french,ancestry_french_canadian,ancestry_german,ancestry_german_russian,ancestry_greek,ancestry_guyanese,ancestry_hungarian,ancestry_icelander,ancestry_iranian,ancestry_irish,ancestry_israeli,ancestry_italian,ancestry_latvian,ancestry_lithuanian,ancestry_luxembourger,ancestry_macedonian,ancestry_maltese,ancestry_new_zealander,ancestry_northern_european,ancestry_norwegian,ancestry_pennsylvania_german,ancestry_polish,ancestry_portuguese,ancestry_romanian,ancestry_russian,ancestry_scandinavian,ancestry_scotch_irish,ancestry_scottish,ancestry_serbian,ancestry_slavic,ancestry_slovak,ancestry_slovene,ancestry_soviet_union,ancestry_subsaharan_african,ancestry_swedish,ancestry_swiss,ancestry_turkish,ancestry_ukrainian,ancestry_welsh,ancestry_west_indian,ancestry_yugoslavian,ancestry_other,poverty_total,below_poverty_level,above_poverty_level,ed_college_degree,ed_some_college,race_minority,vote_male_eligible,vote_female_eligible,vote_eligible,gender_female_pct,below_poverty_pct,ed_college_degree_pct,ed_some_college_pct,race_minority_pct,race_white_pct,race_black_pct,race_asian_pct,race_hispanic_pct,race_native_pct,poverty_pct,vote_female_pct,wwc_pct,white_college_pct,ancestry_french_candadian_pct,ancestry_portuguese_pct,area_m2
Ashland 3,Ashland,-,3,1168.7505910165485,2462.698581560284,1393.3380614657212,17.265957446808514,7.6891252955082745,662.5721040189126,0,27.574468085106385,179.8085106382979,174.4503546099291,920.9408983451538,1701.4929078014184,39.140625,158262.96875,181953.125,0,0,0,59.78551818805766,0,0,0,0,0.8870967741935484,0,0,173.61187371310916,0,0,0,1.129032258064516,0,0,0,0,0,0,0,24.41352093342485,4.021276595744681,36.2343857240906,0,90.84763212079616,0,8.637954701441318,0,6.693548387096774,0,6.491420727522306,4.595744680851064,0,0,0,180.39601921757037,0,74.43102264927934,0,0,0,0,0,0,0,0,0,4.243308167467399,13.212765957446809,1.129032258064516,23.835964310226498,0,0,1.0483870967741935,0,0,0,0,0,25.894989704873026,0,0,0,25.276595744680854,2.1774193548387095,24.127659574468087,0,788.4059711736445,2334.763555250515,45.59814687714482,2289.16540837337,1237.613475177305,1459.4302600472813,1069.3605200945626,740.3359643102265,723.1557995881949,1463.4917638984214,0.4745812580425766,0.019530091933550094,0.5025436261035219,0.5926142447861544,0.4342230624979901,0.56577693750201,0.007010990941436843,0.2690431175702911,0.07083707113657538,0.00312223564551562,0.019530091933550094,0.494130419744807,0.11407948130771686,0.24243023718199216,0,0.005365157578105089,3286948.66053758
Ashland 4,Ashland,-,4,1729.5053191489362,3298.4122340425533,1741.0425531914893,177.89361702127658,1.702127659574468,909.8989361702128,0,54.170212765957444,97.02659574468085,316.67819148936167,1406.9680851063831,2517.6861702127662,42.09183673469388,151029.57142857142,161467.6530612245,0,0,0,36.198695950583385,0,0,0,0,7.274193548387096,0,0,106.89396019217571,0,0,0,9.258064516129032,0,0,0,0,0,0,0,136.62491420727522,1.1914893617021276,101.88366506520246,0,63.88675360329444,0,29.96739876458476,0,54.887096774193544,0,35.06794783802333,1.3617021276595744,0,0,0,157.98352779684282,0,97.26630061770761,0,0,0,0,0,0,0,0,0,12.092999313658202,3.9148936170212765,9.258064516129032,27.459162663006175,0,0,8.596774193548386,0,0,0,0,0,135.1516815374056,0,0,0,7.48936170212766,17.85483870967742,7.148936170212766,0,1084.5247083047357,3689.452642415923,137.80267673301302,3551.64996568291,1535.5212765957447,2074.747340425532,1557.369680851064,1207.959162663006,1325.886067261496,2533.845229924502,0.5243448048424331,0.0373504392355548,0.46553346508595767,0.6290139598114179,0.47215738068687146,0.5278426193131286,0.053933106112467065,0.27585967781081,0.09600928235135699,5.160445507711237e-4,0.0373504392355548,0.523270344850937,0.22215187300372494,0.36649203084417004,0,0.0011869024667735845,3810014.31318977
Ashland 5,Ashland,-,5,1355.6338383838383,2670.996212121212,1860.3434343434342,87.04545454545455,5.055555555555555,222.89646464646464,0,97.3030303030303,147.6742424242424,250.6780303030303,1242.9949494949494,2147.2954545454545,49.08965517241379,113564.96551724138,143979.41379310345,0,0,0,64.60508308895405,0,0,0,0,2.838709677419355,0,0,164.2697947214076,0,0,0,7.158357771260997,0,0,0,0,0,0,0,57.11436950146627,3.9393939393939394,70.78201368523949,0,25.210166177908114,0,11.096774193548386,4.727272727272727,64.35874877810362,3.5454545454545454,39.81329423264907,0,0,0,0,114.41348973607037,0,132.48191593352882,0,3.1515151515151514,0,0,0,0,0,0,0,4.387096774193548,3.5454545454545454,10.309872922776147,27.16715542521994,0,0,3.354838709677419,0,0,2.7575757575757573,0,0,66.18866080156403,1.9696969696969697,0,0,0,6.967741935483871,0.3939393939393939,0,456.3949169110459,2320.647116324536,96.41348973607037,2224.233626588465,1227.151515151515,1673.5593434343432,810.6527777777778,728.0156402737048,905.4584555229716,1633.4740957966765,0.5075386600070246,0.04154595029026689,0.4594358874724701,0.6265674716570492,0.3035020319755473,0.6964979680244527,0.03258913440252545,0.08345068541652781,0.09385188536225986,0.001892760286447808,0.04154595029026689,0.5543145482704225,0.22086794291507925,0.25701014294378083,0.0017698537743408072,0.0013273903307556055,3794350.33743984
Ashland 6,Ashland,-,6,1532.8458498023715,2829.830039525692,1737.308300395257,256.12648221343875,0,173.77470355731225,0,169.16205533596838,206.77470355731225,286.68379446640313,1163.9762845849802,2170.909090909091,46.1,128082.33333333333,149380,0,0,0,130.74308300395256,0,0,0,0,0,0,0,230.798418972332,0,0,0,4.909090909090908,0,0,0,0,0,0,0,22.58893280632411,5.454545454545454,103.64822134387352,0,34.13833992094862,0,9.391304347826088,16.719367588932805,64.93280632411067,4.909090909090908,36.54545454545454,0,0,0,0,117.42687747035572,0,211.31620553359681,0,11.015810276679842,0,0,0,0,0,0,0,0,8.039525691699604,9.272727272727272,48.09486166007905,0,0,0,0,0,3.818181818181818,0,0,29.18181818181818,2.727272727272727,3.5217391304347827,0,2.347826086956522,0,0.5454545454545454,0,360.7351778656126,2772.379446640316,84.16600790513834,2688.213438735178,1090.8853754940712,1748.9525691699605,1092.5217391304348,893.6442687747035,1063.7193675889328,1957.3636363636363,0.5416741742056325,0.030358762039999317,0.3854950156925024,0.6180415589422121,0.386073270786804,0.6139267292131959,0.09050949302113145,0.06140817686225376,0.10130777836906919,0,0.030358762039999317,0.5434449418734969,0.2199967316016409,0.29711417185909006,0.005908258572212746,0.0028409924198299586,7012703.98727136
Athol 1,Athol,-,1,1873.0839010218394,3551.8814365858543,3052.972750951713,79.972049689441,0.17857142857142855,23.78681626928471,0,12.934782608695652,124.78471248246845,257.2517531556802,1541.3625525946707,2708.962131837307,46.301923076923075,83353.30769230769,98763.83653846153,2.7363636363636363,0,0,155.4245791245791,0,8.209090909090909,0,0,0,0,0,0,3.9537037037037033,0,0,0,0,10.166666666666666,0,0,0,0,0,0,4.3,125.81683501683501,0,5.863636363636364,19.89781144781145,78.40942760942761,190.10892255892256,51.69074074074074,0,0,0,0,0,0,206.66094276094276,0,95.3614478114478,0,15.5516835016835,0,0,0,0,6.254545454545455,10.166666666666666,0,45.87626262626262,5.472727272727273,0,0,0,3.909090909090909,23.454545454545457,0,0,0,0,0,9.601851851851851,0,0,0,0,0,37.13636363636364,0,263.707239057239,3420.1850168350165,476.7821548821548,2943.4028619528617,603.5664696453615,1537.0331095972751,498.9086856341414,1272.2454545454543,1491.5432659932658,2763.78872053872,0.5273497819291763,0.13940244534588403,0.16992866468693918,0.4327377298592221,0.14046321493031122,0.8595367850696888,0.022515405178139016,0.006696962354731388,0.07242689761709957,5.027516592532303e-5,0.13940244534588403,0.53967340372622,0.4765940490352394,0.13617727126343804,0.05352344270299163,0.0015407967215222637,46275552.211681
