office,district_id,district,legislator,party,city_town,percent,PVI,PVI_N
State Representative,58849,Seventh Plymouth,Alyson M. Sullivan-Almeida (R-Abington),Republican,Abington,1,EVEN,-0.26123607103129
State Representative,58850,Eighth Plymouth,Dennis C. Gallagher (D-Bridgewater),Democratic,Bridgewater,0.5051104972375691,EVEN,-0.0836044244397871
State Representative,58851,Ninth Plymouth,Bridget M. Plouffe (D-Brockton),Democratic,Brockton,0.5430423986020417,D+9,9.184837677753777
State Representative,58852,Tenth Plymouth,Michelle Marie Dubois (D-Brockton),Democratic,Brockton,1,D+22,22.094916515831752
State Representative,58853,Eleventh Plymouth,Rita A. Mendes (D-Brockton),Democratic,Brockton,1,D+30,30.084495484942885
State Representative,58854,Twelfth Plymouth,Kathleen R. Lanatra (D-Kingston),Democratic,Kingston,0.5313786008230452,D+2,1.958533053062572
State Representative,58855,First Suffolk,Adrian C. Madaro (D-Boston),Democratic,Boston,1,D+24,23.57026151586974
State Representative,58856,Second Suffolk,Daniel J. Ryan (D-Boston),Democratic,Boston,1,D+30,29.99008954658202
State Representative,58857,Third Suffolk,Aaron M. Michlewitz (D-Boston),Democratic,Boston,1,D+29,29.462678802554176
State Representative,58858,Fourth Suffolk,David Biele (D-Boston),Democratic,Boston,1,D+18,17.959018868308718
State Representative,58859,Fifth Suffolk,Christopher J. Worrell (D-Boston),Democratic,Boston,1,D+37,37.37099425293046
State Representative,58860,Sixth Suffolk,Russell E. Holmes (D-Boston),Democratic,Boston,1,D+39,39.471998654366494
State Representative,58861,Seventh Suffolk,Chynah Tyler (D-Boston),Democratic,Boston,1,D+40,39.82087592771696
State Representative,58862,Eighth Suffolk,Jay D. Livingstone (D-Boston),Democratic,Boston,1,D+34,33.77894907934677
State Representative,58863,Ninth Suffolk,John Francis Moran (D-Boston),Democratic,Boston,0.8245861670730142,D+37,36.77199919737589
State Representative,58864,Tenth Suffolk,William Macgregor (D-Boston),Democratic,Boston,1,D+25,24.681057552928166
State Representative,58865,Eleventh Suffolk,Judith A. Garcia (D-Chelsea),Democratic,Chelsea,1,D+23,22.74509920588844
State Representative,58866,Twelfth Suffolk,Brandy Fluker Oakley (D-Boston),Democratic,Boston,1,D+38,38.32711596561465
State Representative,58867,Thirteenth Suffolk,Daniel J. Hunt (D-Boston),Democratic,Boston,1,D+20,20.02048881911377
State Representative,58868,Fourteenth Suffolk,Rob Consalvo (D-Boston),Democratic,Boston,1,D+30,30.47402303165132
State Representative,58869,Fifteenth Suffolk,Samantha Montaño (D-Boston),Democratic,Boston,1,D+42,41.657745277719194
State Representative,58870,Sixteenth Suffolk,Jessica Ann Giannino (D-Revere),Democratic,Revere,1,D+5,4.7094201039646455
State Representative,58871,Seventeenth Suffolk,Kevin G. Honan (D-Boston),Democratic,Boston,1,D+36,35.751010141944384
State Representative,58872,Eighteenth Suffolk,Michael J. Moran (D-Boston),Democratic,Boston,1,D+32,32.24326095057036
State Representative,58873,Nineteenth Suffolk,Jeffrey Rosario Turco (D-Winthrop),Democratic,Winthrop,1,D+11,10.752112051039177
State Representative,58874,First Worcester,Kimberly N. Ferguson (R-Holden),Republican,Holden,0.6980924152606779,D+4,4.143231379634615
State Representative,58875,Second Worcester,Jonathan D. Zlotnik (D-Gardner),Democratic,Gardner,0.5224702812409394,EVEN,0.1500603758008534
State Representative,58876,Third Worcester,Michael P. Kushmerek (D-Fitchburg),Democratic,Fitchburg,1,D+8,7.907419229523526
State Representative,58877,Fourth Worcester,Natalie Higgins (D-Leominster),Democratic,Leominster,0.5750201938610663,D+6,6.122553188247892
State Representative,58878,Fifth Worcester,"Donald R. Berthiaume, Jr (R-Spencer)",Republican,Spencer,1,R+4,-4.109918060503115
State Representative,58879,Sixth Worcester,"John J. Marsi, Jr (R-Dudley)",Republican,Dudley,0.6193060188181411,R+2,-2.4690926880335584
State Representative,58880,Seventh Worcester,Paul K. Frost (R-Auburn),Republican,Auburn,0.6921880909358322,D+1,0.7648883474973833
State Representative,58881,Eighth Worcester,Michael J. Soter (R-Bellingham),Republican,Bellingham,1,EVEN,-0.08140309301012394
State Representative,58882,Ninth Worcester,"David Kent Muradian, Jr (R-Grafton)",Republican,Grafton,1,D+7,7.150454218866997
State Representative,58883,Tenth Worcester,Brian William Murray (D-Milford),Democratic,Milford,1,D+7,7.102161568604492
State Representative,58884,Eleventh Worcester,Hannah E. Kane (R-Shrewsbury),Republican,Shrewsbury,1,D+14,13.500840747664457
State Representative,58885,Twelfth Worcester,Meghan Kilcoyne (D-Clinton),Democratic,Clinton,1,D+8,7.6983773553922275
State Representative,58886,Thirteenth Worcester,"John J. Mahoney, Jr. (D-Worcester)",Democratic,Worcester,1,D+18,17.931933535709444
State Representative,58887,Fourteenth Worcester,James J. O'Day (D-West Boylston),Democratic,West Boylston,1,D+15,15.090236656743883
State Representative,58888,Fifteenth Worcester,Mary S. Keefe (D-Worcester),Democratic,Worcester,1,D+19,18.9521340273064
State Representative,58889,Sixteenth Worcester,Daniel M. Donahue (D-Worcester),Democratic,Worcester,1,D+13,12.513826996228584
State Representative,58890,Seventeenth Worcester,David Henry Argosky Leboeuf (D-Worcester),Democratic,Worcester,1,D+11,11.309597892948153
State Representative,58891,Eighteenth Worcester,Joseph D. Mckenna (R-Sutton),Republican,Sutton,1,R+4,-3.936739124273342
State Representative,62910,"Barnstable, Dukes and Nantucket",Thomas W. Moakley (D-Falmouth),Democratic,Falmouth,1,D+24,23.707141503568018
State Representative,64670,Nineteenth Worcester,Kate Donaghue (D-Westborough),Democratic,Westborough,0.777097366809553,D+20,19.851071015062328
State Senate,55780,Second Essex,Joan B. Lovely (D-Salem),Democratic,Salem,0.6685189020040956,D+13,12.9289467569208
State Senate,58695,Bristol and Norfolk,Paul R. Feeney (D-Foxborough),Democratic,Foxborough,0.729946492200255,D+9,9.47839616473235
State Senate,58696,First Bristol and Plymouth,Michael J. Rodrigues (D-Westport),Democratic,Westport,1,R+1,-1.4599731568909535
State Senate,58697,Second Bristol and Plymouth,Mark C. Montigny (D-New Bedford),Democratic,New Bedford,1,D+4,3.935096690163764
State Senate,58698,Cape and Islands,Julian Andre Cyr (D-Provincetown),Democratic,Provincetown,0.6096470543849389,D+14,14.409380508630342
State Senate,58699,First Essex,Pavel M. Payano (D-Lawrence),Democratic,Lawrence,1,D+10,9.519211043685772
State Senate,58700,First Essex and Middlesex,Bruce E. Tarr (R-Gloucester),Republican,Gloucester,1,D+12,11.9293645644304
State Senate,58701,Second Essex and Middlesex,Barry R. Finegold (D-Andover),Democratic,Andover,1,D+8,8.143477036493207
