State_Rep,Biden_20,Trump_20,Clinton_16,Trump_16,Harris_24,Trump_24,dem_pct_24,dem_pct_20,dem_pct_16,PVI_N,PVI,PVI_N_20,PVI_20,shift_20_24,pvi_shift
Fourteenth Norfolk,19113,5335.999999999999,16059.000000000002,5174.000000000001,17045,5469,0.7570844807675224,0.7817497648165569,0.7563227052230019,26.216994822713747,D+26,25.24741529014286,D+25,-0.024665284049034453,0.9695795325708865
Fourteenth Suffolk,18540,3706,16999,3258,15636,4181,0.7890195286874906,0.833408253169109,0.8391667078047095,30.47402303165132,D+30,31.869563110563725,D+32,-0.04438872448161846,-1.3955400789124042
Fourteenth Worcester,12728.500280507298,6033.2663383135505,10687.069788110126,5418.2643939928785,11259,6398,0.6376507900549357,0.6784275990161137,0.6635733023153344,15.090236656743883,D+15,15.410919445328409,D+15,-0.04077680896117797,-0.32068278858452537
Fourth Barnstable,20851,8826,16579,8884,20423,8902,0.6964364876385337,0.7025979714930755,0.651101598397675,19.17802968782366,D+19,16.136044426000716,D+16,-0.006161483854541738,3.041985261822944
Fourth Bristol,12840,12314.999999999998,9911.000000000002,10973,11912,13547,0.467889547900546,0.5104353011329755,0.47457383642980283,-1.8720657640736826,R+2,-2.3289123043574387,R+2,-0.04254575323242954,0.45684654028375604
Fourth Essex,9167.908432328493,4352.924401594974,9911.685046079325,3476.686559250406,6812,5228,0.56578073089701,0.6780579676516978,0.7403204316597858,11.741635333670263,D+12,19.157884433763893,D+19,-0.11227723675468781,-7.41624910009363
Fourth Hampden,11618.115223687471,10884.572775989087,9338.101035732125,10033.536730561567,10815,11212,0.4909883325010215,0.5162989960956871,0.4820501574719849,-0.3976457315406523,EVEN,-1.7002097723114118,R+2,-0.025310663594665606,1.3025640407707595
Fourth Middlesex,13305.787577939094,6130.184352692336,11160.832359634695,5982.487165776611,11832,6701,0.6384287487185021,0.6845959453650446,0.6510309944985362,15.430600534800288,D+15,15.140822131540366,D+15,-0.04616719664654256,0.28977840325992155
Fourth Norfolk,14205.210324931919,8965.326275992997,10925.254155198334,8496.036895786896,12287,9463,0.5649195402298851,0.6130721342191479,0.5625400559889195,8.200189763683719,D+8,7.257308641779813,D+7,-0.04815259398926275,0.9428811219039055
Fourth Plymouth,18355.09547007247,11963.513672617646,13942.29017575377,11622.821720063337,17203,12645,0.5763535245242563,0.6054069097855672,0.5453639410056706,8.323852946244937,D+8,6.048195681132618,D+6,-0.02905338526131096,2.2756572651123195
Fourth Suffolk,17437.725830258303,6458.745756457564,13848.225092250923,5639.517343173432,14142,7906,0.6414187227866474,0.729719689661297,0.7106120751615614,17.959018868308718,D+18,20.367963482675723,D+20,-0.08830096687464961,-2.4089446143670052
Fourth Worcester,12355.212638838793,8599.148398294947,9849.357785342821,8205.762303332558,10955,9059,0.5473668432097532,0.5896248812809809,0.5455160495731393,6.122553188247892,D+6,5.175247039569964,D+5,-0.042258038071227744,0.947306148677928
Nineteenth Middlesex,14004.1107359257,11882.717635961255,10775.242438151461,11312.074775824392,12676,12331,0.5068980685408085,0.5409743725552002,0.4878474978995356,1.647545595652522,D+2,-0.09423743873460122,EVEN,-0.034076304014391656,1.7417830343871232
Nineteenth Suffolk,11123.348983986465,5918.74762695086,9394.48296423071,5938.033128290725,9542,7003,0.5767301299486249,0.652698387876037,0.6127163283274132,10.752112051039175,D+11,11.63058975157849,D+12,-0.07596825792741202,-0.8784777005393156
Nineteenth Worcester,16652.799548974923,6558.763757882616,13130.94969679137,6666.360355106044,15381,6764,0.6945585911040867,0.7174355009537458,0.6632693867181654,19.851071015062328,D+20,17.504531739463225,D+18,-0.022876909849659066,2.3465392755991026
Ninth Bristol,11744.427856594675,9638.520839204095,10606.117433690644,8324.452374946111,11049,11296,0.494473036473484,0.5492426710494878,0.5602640354149182,1.350005288072087,D+1,3.696101267877905,D+4,-0.054769634576003756,-2.346095979805818
Ninth Essex,14390.104900237482,11446.78467031939,11486.310307807005,11238.86138158324,12599,12033,0.5114891198441053,0.5569596472106347,0.5054443796862335,2.701185101154091,D+3,1.539537783735201,D+2,-0.045470527366529456,1.1616473174188902
Ninth Hampden,10631.091842987242,4020.230454667274,10698.30230307911,3184.9422299168305,8930,4918,0.6448584633160023,0.7256063054929275,0.7705909290622043,17.86151088923692,D+18,23.003607055486786,D+23,-0.08074784217692521,-5.142096166249864
Ninth Middlesex,14722.648733612354,6084.38219702562,12429.222752900525,5928.942424017024,13163,6043,0.685358742059773,0.707580470404046,0.6770405774825624,18.915887024687294,D+19,17.58081904131128,D+18,-0.02222172834427305,1.335067983376014
Ninth Norfolk,16400.089097553933,10904.776743461603,12036.760362863923,10188.40194692522,15053,11669,0.5633186138762069,0.6006288107418136,0.5415825628217029,7.441965971801878,D+7,5.667641000616841,D+6,-0.03731019686560677,1.7743249711850364
Ninth Plymouth,14714.398388246382,9055.421905578884,11373.468048501692,8813.045234140556,13266,9629,0.579427822668705,0.6190370060167755,0.5634191447158624,9.184837677753777,D+9,7.603793992372598,D+8,-0.03960918334807051,1.5810436853811787
Ninth Suffolk,17137.31948135524,1969.3410820237968,16094.05997482551,1595.8356545355316,14390,2515,0.8512274475007394,0.896929080019438,0.9097882945173049,36.771999197375884,D+37,38.56540192953898,D+39,-0.04570163251869863,-1.793402732163095
Ninth Worcester,15034.324853228964,10245.71624266145,11094.842139595565,9680.562296151338,14110,10923,0.5636559741141693,0.594711250515846,0.5340373600864965,7.150454218866997,D+7,4.988442025063911,D+5,-0.0310552764016766,2.1620121938030863
Second Barnstable,14753.839826793348,9836.909686194133,11693.336994309764,9671.275089539899,13701,10289,0.5711129637348895,0.5999751987633066,0.5473226917679076,7.796722435356484,D+8,5.803997790667714,D+6,-0.028862235028417116,1.9927246446887699
Second Berkshire,16404,5017,13907,4771,14628,5658,0.7210884353741497,0.7657905793380327,0.7445657993361173,23.629244968243846,D+24,23.84470262065411,D+24,-0.044702143963883056,-0.21545765241026515
Second Bristol,12419,8514.000000000002,9569,7877,11508,9183,0.55618384804987675,0.5932737782448765,0.548492491115442,6.708132062772554,D+7,5.546036986030178,D+6,-0.03708993019499973,1.1620950767423759
Second Essex,19268.393058304155,11473.09499162734,15138.65261074745,11045.62094687167,18359,11776,0.6092251534760246,0.6267879104293096,0.5781582054371103,11.033870522250687,D+11,8.696248206924217,D+9,-0.01756275695328502,2.3376223153264704
Second Franklin,12686,8780,10054,7945,12306,10122,0.548689138576779,0.5909810863691419,0.5585865881437858,6.161635602536519,D+6,5.874965443466773,D+6,-0.042291947792362894,0.2866701590697458
Second Hampden,15200.431988836608,11105.058412837445,12117.240964491664,10546.533867905653,13674,11527,0.5425975159715885,0.5778425627780454,0.5346523716415662,5.284261962616177,D+5,4.03963266637909,D+4,-0.0352450468064569,1.244629296237087
Second Hampshire,17767.65868622609,7630.318420929542,14272.762494371396,7604.737640479581,16565,7932,0.6762052496224027,0.6995698362614959,0.6523945791975935,18.034318353177923,D+18,16.02816035991075,D+16,-0.023364586639093243,2.0061579932671734
Second Middlesex,17084.67513055915,7943.430645764526,13178.059690907632,7914.960421812987,16803,8454,0.6652809122223542,0.6826195830897068,0.6247592625657389,16.615547337379365,D+17,13.870065261992314,D+14,-0.017338670867352635,2.7454820753870504
