City/Town,Type,County,Registered Voters,"Per capita income","Median household income","Median family income",Population,"Number of households"
Norwood,Town,Norfolk,20165,34587,72472,88783,28602,11917
Oak Bluffs,Town,Dukes,3338,28417,59156,75025,4527,1989
Oakham,Town,Worcester,1323,29666,77396,83472,1902,685
Orange,Town,Franklin,4711,21825,42809,52141,7839,3172
Orleans,Town,Barnstable,5332,38402,56313,72155,5890,2950
Otis,Town,Berkshire,1098,46973,63750,69318,1612,708
Oxford,Town,Worcester,8728,29368,65845,80694,13709,5272
Palmer,City,Hampden,8124,27944,50638,62540,12140,5099
Paxton,Town,Worcester,3090,35403,100333,101775,4806,1546
Peabody,City,Essex,34840,31505,65515,80471,51251,21313
Pelham,Town,Hampshire,987,46439,81765,95076,1321,549
Pembroke,Town,Plymouth,12372,33942,80694,95236,17837,6298
Pepperell,Town,Middlesex,7915,35144,82055,97870,11497,4197
Peru,Town,Berkshire,586,26669,66250,69091,847,336
Petersham,Town,Worcester,942,25059,62411,75972,1234,493
Phillipston,Town,Worcester,1137,26315,70493,71993,1682,633
Pittsfield,City,Berkshire,29504,26003,43188,56256,44737,19653
Plainfield,Town,Hampshire,451,27511,57054,65875,648,269
Plainville,Town,Norfolk,5636,33390,73645,90558,8264,3303
Plymouth,Town,Plymouth,38241,33163,74767,88518,56468,21269
Plympton,Town,Plymouth,2026,33265,87917,90000,2820,1006
Princeton,Town,Worcester,2705,42165,102853,111337,3413,1279
Provincetown,Town,Barnstable,2892,39675,44646,46982,2942,1765
Quincy,City,Norfolk,61740,32786,59803,77514,92271,40658
Randolph,City,Norfolk,19521,29171,64607,78071,32112,11551
Raynham,Town,Bristol,9550,33425,75872,88750,13383,4875
Reading,Town,Middlesex,17123,43887,99130,117870,24747,9305
Rehoboth,Town,Bristol,8423,37769,87597,95164,11608,4101
Revere,City,Suffolk,25230,23928,49759,59327,51755,20454
Richmond,Town,Berkshire,1132,49028,87682,89423,1475,657
Rochester,Town,Plymouth,3998,33358,95022,98648,5232,1813
Rockland,Town,Plymouth,12165,29696,64512,72873,17489,6697
Rockport,Town,Essex,5648,40527,70625,103818,6952,3213
Rowe,Town,Franklin,283,27083,46250,57250,393,167
Rowley,Town,Essex,4407,37298,74911,94492,5856,2155
Royalston,Town,Worcester,863,30768,60385,79219,1258,498
Russell,Town,Hampden,988,26450,57750,71518,1775,656
Rutland,Town,Worcester,5705,29583,81295,92050,7973,2791
Salem,City,Essex,26994,30949,56979,68844,41340,17842
Salisbury,Town,Essex,5780,33753,62917,77866,8283,3441
Sandisfield,Town,Berkshire,595,42248,62411,70469,915,377
Sandwich,Town,Barnstable,15327,35372,83325,95840,20675,7776
Saugus,Town,Essex,17494,33402,71023,88145,26628,10318
Savoy,Town,Berkshire,458,28041,55500,56750,692,298
Scituate,Town,Plymouth,13462,44549,86723,108138,18133,6859
Seekonk,Town,Bristol,9372,32236,76283,86353,13722,5071
Sharon,Town,Norfolk,12489,50551,115172,134535,17612,6219
Sheffield,Town,Berkshire,2201,32000,47145,66397,3257,1424
Shelburne,Town,Franklin,1312,29694,63542,78241,1893,849
Sherborn,Town,Middlesex,3091,69024,145250,167273,4119,1438
Shirley,Town,Middlesex,3999,24668,72598,75250,7211,2264
Shrewsbury,Town,Worcester,22554,37536,85697,101935,35608,13424
Shutesbury,Town,Franklin,1429,34396,67500,89219,1771,714
Somerset,Town,Bristol,13256,29597,67077,78258,18165,7087
Somerville,City,Middlesex,44464,32517,61731,69245,75754,32105
South Hadley,Town,Hampshire,10703,29360,62236,77901,17514,6793
Southampton,Town,Hampshire,4124,36448,80738,95184,5792,2249
Southborough,Town,Worcester,6888,55985,140184,159297,9767,3332
Southbridge,City,Worcester,10854,21659,47234,52262,16719,6866
Southwick,Town,Hampden,6252,32952,72331,84424,9502,3710
Spencer,Town,Worcester,7613,28705,63761,77278,11688,4744
Springfield,City,Hampden,90424,17962,34628,41532,153060,56752
Sterling,Town,Worcester,5774,43372,102115,120990,7808,2810
Stockbridge,Town,Berkshire,1481,32353,55096,67188,1947,919
Stoneham,Town,Middlesex,14841,36437,76574,98182,21437,8994
Stoughton,Town,Norfolk,17558,30669,67175,81436,26962,10295
Stow,Town,Middlesex,4906,46212,117440,125227,6590,2429
Sturbridge,Town,Worcester,6500,36048,71607,95000,9268,3611
Sudbury,Town,Middlesex,12067,59571,188295,166008,17659,5771
Sunderland,Town,Franklin,2325,29781,53945,72740,3684,1648
Sutton,Town,Worcester,6720,41794,105164,113272,8963,3213
Swampscott,Town,Essex,10077,48827,90763,112157,13787,5520
Swansea,Town,Bristol,11695,32979,68773,77000,15865,6079
Taunton,City,Bristol,34309,25945,53600,68796,55874,22332
Templeton,Town,Worcester,5064,25627,66138,73082,8013,2882
Tewksbury,Town,Middlesex,20913,34684,84149,98662,28961,10492
Tisbury,Town,Dukes,3319,29693,58551,69936,3949,1806
Tolland,Town,Hampden,355,33307,55714,63036,485,197
Topsfield,Town,Essex,4535,45616,115015,128606,6085,2090
Townsend,Town,Middlesex,6037,29862,76533,87227,8926,3240
Truro,Town,Barnstable,1717,39544,80425,85852,2003,984
Tyngsborough,Town,Middlesex,8010,36133,95568,105908,11292,3999
Tyringham,Town,Berkshire,299,48046,93750,110938,327,138
Upton,Town,Worcester,4972,41282,107950,127250,7542,2733
Uxbridge,Town,Worcester,10036,32708,81127,90737,13457,5056
Wakefield,Town,Middlesex,16712,40494,89246,111638,24932,9994
Wales,Town,Hampden,1270,32692,63800,77935,1838,736
Walpole,Town,Norfolk,16611,41998,89697,111530,24070,8730
Waltham,City,Middlesex,33628,32014,66346,82688,60632,23690
Ware,Town,Hampshire,6257,26544,51094,66564,9872,4120
Wareham,Town,Plymouth,14587,28165,54451,67364,21822,9071
Warren,Town,Worcester,3100,27758,55030,67346,5135,2021
Warwick,Town,Franklin,541,30232,67554,68438,780,329
Washington,Town,Berkshire,430,31597,68906,70795,538,225
Watertown,City,Middlesex,21469,40860,74081,88499,31915,14709
Wayland,Town,Middlesex,9690,69765,129805,147473,12994,4808
Webster,Town,Worcester,11314,26336,48640,62789,16767,7088
Wellesley,Town,Norfolk,18203,66800,139784,182250,27982,8695
Wellfleet,Town,Barnstable,2625,47269,66109,90099,2750,1366
Wendell,Town,Franklin,664,31162,59500,58333,848,391
Wenham,Town,Essex,2818,51933,132697,142394,4875,1358
West Boylston,Town,Worcester,4912,28867,79906,88003,7669,2616
West Bridgewater,Town,Plymouth,5051,32111,76277,93954,6916,2571
West Brookfield,Town,Worcester,2444,29819,61319,81218,3701,1479
West Newbury,Town,Essex,3116,49485,111739,135568,4235,1508
