City/Town,PVI_N,PVI,Biden_20,Trump_20,Clinton_16,Trump_16
Boston,33.20643877410436,D+33,242717,45425,221093,38087
Bourne,0.5244533100803306,D+1,6527,5331,4910,5201
Boxborough,22.998176229986345,D+23,2526,786,1987,756
Boxford,3.974896206526624,D+4,3117,2271,2454,2194
Boylston,5.93339574745505,D+6,1877,1318,1424,1125
Braintree,5.805982919026242,D+6,12612,8744,10469,8427
Brewster,13.48961950456291,D+13,4940,2338,3813,2370
Bridgewater,-0.4433810814822081,EVEN,7688,6572,5718,6261
Brimfield,-6.941321986546312,R+7,1063,1193,793,1113
Brockton,24.35987874701257,D+24,29475,8689,25593,8801
Brookfield,-6.1455855366950365,R+6,946,1054,708,936
Brookline,37.16102604310287,D+37,27150,3418,24583,3175
Buckland,24.636981598636552,D+25,889,268,703,230
Burlington,9.290943621019633,D+9,9447,5566,7633,5434
Cambridge,41.86290720959875,D+42,50233,3519,46563,3323
Canton,11.493787930933264,D+11,9222,4965,7308,4731
Carlisle,25.65931669865789,D+26,2772,767,2302,732
Carver,-5.146644642071985,R+5,3277,3504,2529,3206
Charlemont,14.470606509933626,D+14,492,235,407,228
Charlton,-6.777118980154862,R+7,3759,4127,2709,3856
Chatham,8.72745857477597,D+9,3107,1834,2398,1796
Chelmsford,9.84163476537503,D+10,13901,7823,10705,7661
Chelsea,28.92420753397723,D+29,8155,2215,7500,1587
Cheshire,6.563129699175862,D+7,1124,775,978,741
Chester,-10.354400239570866,R+10,313,415,238,372
Chesterfield,10.571435941183635,D+11,510,287,398,267
Chicopee,5.188531852230027,D+5,14502,10636,12338,9841
Chilmark,35.7947698776271,D+36,796,111,617,94
Clarksburg,8.851473126300524,D+9,583,390,510,327
Clinton,8.476089172124446,D+8,4688,2886,3767,2748
Cohasset,15.649430941850053,D+16,3849,1665,2895,1629
Colrain,16.16410169899699,D+16,667,306,513,257
Concord,30.9384076118711,D+31,10024,1977,8460,1951
Conway,26.331175465955383,D+26,989,278,865,249
Cummington,18.60557786523134,D+19,413,162,334,156
Dalton,19.578438823125843,D+20,2682,1039,2190,940
Danvers,5.570013044208045,D+6,9833,6725,7752,6484
Dartmouth,4.335104291130321,D+4,9792,7778,8586,6738
Dedham,15.457473894013784,D+15,10760,4771,8621,4778
Deerfield,21.57173895223933,D+22,2425,839,1968,777
Dennis,7.472036734671262,D+7,6181,3938,4887,3751
Dighton,-6.802515800192987,R+7,2139,2473,1602,2149
Douglas,-8.636188351056157,R+9,2458,2956,1780,2685
Dover,16.379698302340838,D+16,2761,1142,2063,1137
Dracut,-4.275246270519684,R+4,8706,8812,6645,8319
Dudley,-7.057245227169218,R+7,2744,3192,2113,2871
Dunstable,4.639624126948927,D+5,1243,877,954,837
Duxbury,8.799284805626662,D+9,6910,4032,5137,3888
E. Bridgewater,-4.960184905874909,R+5,4183,4366,3174,4073
E. Brookfield,-9.713321035418938,R+10,593,741,417,664
E. Longmeadow,-0.6679645165528547,R+1,5295,4623,4089,4441
Eastham,16.780763535000254,D+17,2864,1151,2203,1199
Easthampton,21.68377842278142,D+22,7796,2525,6213,2599
Easton,7.269461509815156,D+7,8715,5467,6556,5231
Edgartown,19.330031635129952,D+19,2185,854,1787,779
Egremont,29.856037142634896,D+30,783,174,621,147
Erving,8.157040487116497,D+8,550,355,420,300
Essex,13.74623413529138,D+14,1650,796,1272,758
Everett,19.76109526175657,D+20,10492,4093,9461,3940
Fairhaven,2.0680783493459254,D+2,5093,4275,4264,3824
Fall River,7.31522228880176,D+7,17459,13571,17467,10850
Falmouth,12.331515880751176,D+12,14134,7319,11467,7165
Fitchburg,9.558586066454543,D+10,9897,6186,8590,5587
Florida,0.21117522689160229,EVEN,209,203,191,170
Foxborough,6.689352706530238,D+7,6740,4357,5132,4161
Framingham,23.387081183219628,D+23,23622,7712,20520,7063
Franklin,9.004589163297927,D+9,12475,7345,9527,6996
Freetown,-6.6826910114058276,R+7,2483,2906,2035,2649
Gardner,4.172252036963931,D+4,5213,3939,4196,3542
Georgetown,2.3692664476947622,D+2,3051,2388,2347,2228
Gill,18.509276224652904,D+19,679,279,579,259
Gloucester,15.17801100492554,D+15,12138,5595,9808,5355
Goshen,12.249398373927889,D+12,418,231,364,213
Gosnold,13.712959745163422,D+14,56,22,36,27
Grafton,9.778136372363331,D+10,7139,4011,5372,3883
Granby,-0.20562731599451656,EVEN,2055,1815,1651,1699
Granville,-11.697429367353356,R+12,402,565,335,548
Great Barrington,31.971816462277403,D+32,3368,654,2880,580
Greenfield,22.52537488755554,D+23,6883,2265,5574,2098
Groton,15.85157189712908,D+16,4941,2149,3917,2138
Groveland,0.5069258525789544,D+1,2421,1976,1822,1934
Hadley,20.538910759589857,D+21,2476,925,2149,867
Halifax,-4.707540856128201,R+5,2354,2398,1794,2312
Hamilton,15.605510037501158,D+16,3364,1458,2631,1476
Hampden,-6.720148059751585,R+7,1539,1713,1188,1645
Hancock,3.3908411691930485,D+3,257,207,189,159
Hanover,-1.862214549461011,R+2,4910,4507,3750,4267
Hanson,-4.6803885523927775,R+5,3244,3314,2432,3124
Hardwick,-3.800580724582275,R+4,749,733,568,709
Harvard,23.666562719458973,D+24,3074,954,2515,889
Harwich,9.413595098350914,D+9,5833,3365,4560,3294
Hatfield,16.478040779599677,D+16,1578,686,1284,660
Haverhill,6.76814696633028,D+7,19020,12571,15407,12050
Hawley,13.955916673902005,D+14,155,70,105,67
Heath,10.950214792485925,D+11,294,158,244,165
Hingham,14.871920476987055,D+15,10855,4986,8510,4810
Hinsdale,11.57197385805354,D+12,771,402,606,403
Holbrook,6.613661491682709,D+7,3710,2381,2912,2385
Holden,5.834508285091888,D+6,7325,4996,5605,4612
Holland,-7.864381129241826,R+8,698,793,475,720
Holliston,18.57633474784298,D+19,6771,2579,5291,2563
Holyoke,20.475593780506408,D+20,11152,4843,11656,4022
Hopedale,7.900358897101578,D+8,2285,1385,1759,1375
Hopkinton,16.2627324668862,D+16,7047,2981,5358,2911
Hubbardston,-5.23191354665461,R+5,1390,1442,1040,1376
Hudson,12.264628375994436,D+12,7414,3852,6028,3775
Hull,11.580875739972086,D+12,4507,2433,3688,2356
Huntington,-5.070171607147617,R+5,585,593,460,611
Ipswich,13.146860405285333,D+13,6273,3109,4939,3013
Kingston,0.5465728938509606,D+1,4522,3775,3471,3579
Lakeville,-6.74601292080027,R+7,3336,3778,2466,3374
Lancaster,4.260614157326614,D+4,2458,1762,1850,1651
Lanesborough,13.511298568964802,D+14,1237,604,998,597
Lawrence,28.258297376203657,D+28,17023,5803,19852,3535
Lee,18.935718166935477,D+19,2415,985,1969,852
Leicester,-3.479590824155959,R+3,3101,3146,2423,2825
Lenox,29.24718491463202,D+29,2701,602,2234,572
Leominster,5.383270318862687,D+5,12344,8592,9840,8199
Leverett,34.747744225632616,D+35,1193,163,996,185
Lexington,30.498189236260032,D+30,16308,3337,13900,3279
Leyden,16.85182956900235,D+17,330,155,306,139
Lincoln,31.68904983982612,D+32,3493,683,2996,625
Littleton,15.731286275284184,D+16,4479,1980,3445,1876
Longmeadow,11.769907029233304,D+12,6679,3493,5311,3457
Lowell,16.630332761488898,D+17,25544,12346,23555,10584
Ludlow,-3.564965402086384,R+4,5467,5695,4483,5097
Lunenburg,3.3085196839250375,D+3,4027,2936,2942,2802
Lynn,18.814181429164744,D+19,24662,10425,22164,9311
Lynnfield,-2.673046731717521,R+3,4213,3969,3238,3829
Malden,23.606607257405543,D+24,19111,6026,15845,5538
Manchester-by-the-Sea,20.06236593090348,D+20,2712,1014,2249,954
