City/Town,PVI_N,PVI
Gardner,4.876452733926007,D+5
Georgetown,-2.5270991771865257,R+3
Gill,20.765202278376883,D+21
Gloucester,12.734041804586349,D+13
Goshen,13.336527666603681,D+13
Gosnold,5.897165227241241,D+6
Grafton,3.6559013462358347,D+4
Granby,0.2822456719243305,EVEN
Granville,-11.126640644464747,R+11
Great Barrington,31.614339094021403,D+32
Greenfield,23.118788907542076,D+23
Groton,7.532347276541329,D+8
Groveland,-3.9075299789138205,R+4
Hadley,19.402077810513884,D+19
Halifax,-5.546357778204131,R+6
Hamilton,5.044143523767608,D+5
Hampden,-8.040189849354345,R+8
Hancock,6.542727223778167,D+7
Hanover,-7.886958738315769,R+8
Hanson,-6.873056222532231,R+7
Hardwick,-1.3585887599615099,R+1
Harvard,15.996825683890014,D+16
Harwich,4.943242643150636,D+5
Hatfield,15.553982287709411,D+16
Haverhill,4.885022913659254,D+5
Hawley,12.200996531072539,D+12
Heath,13.56135115229673,D+14
Hingham,4.408763190833942,D+4
Hinsdale,14.049786875438109,D+14
Holbrook,3.817213212563375,D+4
Holden,0.30346751244901826,EVEN
Holland,-8.435993597443009,R+8
Holliston,10.506977514218885,D+11
Holyoke,24.373110579559352,D+24
Hopedale,2.7733185741213195,D+3
Hopkinton,5.361181971041484,D+5
Hubbardston,-7.1535847359557705,R+7
Hudson,7.914554496286142,D+8
Hull,8.833319877657885,D+9
Huntington,-3.3413508553813087,R+3
Ipswich,6.6012481898873325,D+7
Kingston,-3.8820962987060614,R+4
Lakeville,-9.302676916613345,R+9
Lancaster,-1.4512806430411418,R+1
Lanesborough,16.057033205032855,D+16
Lawrence,32.95960282826993,D+33
Lee,21.08585513708835,D+21
Leicester,-2.9951212197897314,R+3
Lenox,26.961025259026773,D+27
Leominster,2.4239994852961244,D+2
Leverett,32.92419225426827,D+33
Lexington,24.127670731325757,D+24
Leyden,20.2111176668889,D+20
Lincoln,25.216237994589875,D+25
Littleton,8.560750868799206,D+9
Longmeadow,4.47861097522515,D+4
Lowell,17.041998053198515,D+17
Ludlow,-0.6694550158111268,R+1
Lunenburg,-2.181127629985297,R+2
Lynn,20.224014061149063,D+20
Lynnfield,-9.370224787747455,R+9
Malden,21.71450132981344,D+22
Mansfield,2.3967021473389027,D+2
Marblehead,10.431824830424908,D+10
Marion,6.289068008346277,D+6
Marlborough,9.580727096630405,D+10
Marshfield,-2.72259334672047,R+3
Mashpee,0.5334054470776728,D+1
Mattapoisett,1.5957109863660057,D+2
Maynard,15.450164915641773,D+15
Medfield,4.10526816765776,D+4
Medford,19.630685955221804,D+20
Medway,2.582379853632333,D+3
Melrose,13.45598303785761,D+13
Mendon,-5.206383710045564,R+5
Merrimac,1.7392202663350065,D+2
Methuen,1.151884020872207,D+1
Middleborough,-7.207823049575913,R+7
Middlefield,13.492055199180387,D+13
Middleton,-8.135628868843996,R+8
Milford,5.92567801925018,D+6
Millbury,-2.0435120662709307,R+2
Millis,3.4734626071178387,D+3
Millville,-7.248609345217616,R+7
Milton,14.570783543019605,D+15
Monroe,3.2724251025011197,D+3
