city_town,ward,precinct,State_Rep,State_Senate,Gov_Council,US_House,Biden_20,Trump_20,Clinton_16,Trump_16,Harris_24,Trump_24
Sudbury,-,1,Thirteenth Middlesex,Middlesex and Worcester,Third,5,1221.9802631578948,324.41184210526313,966.2776315789472,344.4157894736842,1536,478
Sudbury,-,2,Thirteenth Middlesex,Middlesex and Worcester,Third,5,1541.891156831701,447.7871572204293,1233.6913115132472,416.7257259707077,1492,409
Sudbury,-,3,Thirteenth Middlesex,Middlesex and Worcester,Third,5,1539.602814205481,481.99221499092096,1174.5934196022126,429.4045409568852,1320,412
Sudbury,-,4,Thirteenth Middlesex,Middlesex and Worcester,Third,5,1559.170544113908,410.3619247393847,1251.9800788202388,359.46742944317316,1602,425
Sudbury,-,5,Thirteenth Middlesex,Middlesex and Worcester,Third,5,1500.4207101658255,445.43305335255945,1260.2752523431868,425.9067195385725,1352,476
Sudbury,-,6,Thirteenth Middlesex,Middlesex and Worcester,Third,5,1474.9345115251897,447.01380759144234,1134.182306142167,390.0797946169772,1466,456
Sunderland,-,1,First Franklin,"Hampshire, Franklin and Worcester",Eighth,2,1605,394,1353,387,1408,397
Sutton,-,1,Eighteenth Worcester,Worcester & Hampden,Seventh,2,1054.0400508582327,1055.9307056579785,745.8633184996821,961.3979656706928,983,1093
Sutton,-,2,Eighteenth Worcester,Worcester & Hampden,Seventh,2,915.1721337675484,1060.8245121752152,724.1099695068779,1000.9771900522784,903,1151
Sutton,-,3,Eighteenth Worcester,Worcester & Hampden,Seventh,2,1119.462962145256,961.528539505358,840.1845723978757,916.0625481256914,996,1014
Swampscott,-,1,Eighth Essex,Third Essex,Sixth,6,971.7341239721244,414.791487573415,808.7519794821346,407.1957168904239,928,517
Swampscott,-,2,Eighth Essex,Third Essex,Sixth,6,1050.0114239147697,450.6313952806515,840.6403457012318,435.32345973470046,855,488
Swampscott,-,3,Eighth Essex,Third Essex,Sixth,6,1207.0763129555537,409.114350888281,987.6636493943752,407.29683182036626,1095,338
Swampscott,-,4,Eighth Essex,Third Essex,Sixth,6,1292.997382178458,411.6998477495577,1052.5011042441913,428.4633365779577,1139,432
Swampscott,-,5,Eighth Essex,Third Essex,Sixth,6,1160.7437160759248,454.2318775718745,949.6595446491214,459.20229523467873,1122,476
Swampscott,-,6,Eighth Essex,Third Essex,Sixth,6,1158.7305856113296,413.2092998730517,911.8665702267408,447.088249387973,1080,438
Swansea,-,1,Fifth Bristol,First Bristol and Plymouth,First,4,803.0109375000001,1033.0674479166669,693.6684895833333,826.62890625,760,1237
Swansea,-,2,Fifth Bristol,First Bristol and Plymouth,First,4,1051.0531356194006,928.2607352486872,873.2542477602718,823.375656472042,963,985
Swansea,-,3,Fifth Bristol,First Bristol and Plymouth,First,4,1040.9359268805993,1007.6718168346464,864.0772626563949,885.995437277958,913,1114
Swansea,-,4,Fourth Bristol,First Bristol and Plymouth,First,4,949,1054,763,905,898,1139
Swansea,-,5,Fourth Bristol,First Bristol and Plymouth,First,4,892,1100,734,910,868,1260
Taunton,1,A,Third Bristol,Third Bristol & Plymouth,First,4,870.5203134058656,524.38917777781,719.8616442459667,494.5616065353462,820,659
Taunton,1,A1,Fifth Bristol,Third Bristol & Plymouth,First,4,52.37119711923283,31.54767163232181,43.3074512895411,29.753221130626592,52,25
Taunton,1,B,Third Bristol,Third Bristol & Plymouth,First,4,999,893,798,793,931,1029
Taunton,2,A,Third Bristol,Third Bristol & Plymouth,First,4,744.2207278481013,319.09071729957805,607.0506329113924,281.150052742616,550,412
Taunton,2,B,Third Bristol,Third Bristol & Plymouth,First,4,843.7792721518987,458.9092827004219,715.9493670886076,438.849947257384,736,591
Taunton,3,A,Twelfth Bristol,Third Bristol & Plymouth,First,4,919,596,785,521,774,670
Taunton,3,B,Twelfth Bristol,Third Bristol & Plymouth,First,4,1080,839,929,737,962,937
Taunton,4,A,Twelfth Bristol,Third Bristol & Plymouth,First,4,940.4593363748186,884.0080048623669,720.6234321704525,803.2640789174641,799,1007
