State_Senate,Biden_20,Trump_20,Clinton_16,Trump_16,Harris_24,Trump_24,dem_pct_24,dem_pct_20,dem_pct_16,PVI_N,PVI,PVI_N_20,PVI_20,shift_20_24,pvi_shift
Middlesex and Norfolk,66233.99999999999,24183.000000000004,54281.99999999998,23123.000000000004,60662,25322,0.7055033494603647,0.7325392348783967,0.701272527614495,21.1605689270696,D+21,20.066089492878938,D+20,-0.027035885418031924,1.0944794341906636
Middlesex and Suffolk,55295.932554076135,10610.876696866375,50200.479039196594,9558.512333577723,45283,12070,0.7895489337959654,0.8390018145702505,0.8400489681301331,30.823599250489554,D+31,32.20426658916391,D+32,-0.04945288077428511,-1.3806673386743533
Middlesex and Worcester,73433,26722.999999999993,59145.00000000001,26188,68276,27789,0.7107271118513506,0.7331862294820081,0.6931081762038134,21.443548298873104,D+21,19.729147242021295,D+20,-0.022459117630657444,1.714401056851809
Norfolk & Middlesex,80704.61746059894,15070.97289196577,71632.62034187654,14174.410051239622,71497,15605,0.8208422309476247,0.8426428609159474,0.8348106211542223,32.4504218278043,D+32,32.1484617933829,D+32,-0.02180062996832277,0.3019600344213984
Norfolk and Plymouth,52720.36224922295,31783.720259960442,43163.1460864651,30166.12009042102,45655,34190,0.5717953534974012,0.6238794704799454,0.5886210013658968,9.082035835637392,D+9,9.004129871769795,D+9,-0.052084116982544226,0.07790596386759674
Norfolk and Suffolk,74062.39921130639,29646.578788127823,62169.75863677973,28505.241289176844,65672,31272,0.6774220168344611,0.7141368147674779,0.6856328501521515,18.86430200238145,D+19,18.338335585128096,D+18,-0.036714797933016796,0.525966417253354
"Norfolk, Plymouth & Bristol",58970.40956183635,32591.519616373913,47574.28656293387,31048.85740973255,52362,34396,0.6035408838378017,0.6440494438147991,0.6050926503202825,11.658550094168163,D+12,10.859483434991846,D+11,-0.04050855997699743,0.7990666591763169
"Norfolk, Worcester & Middlesex",67553.99999999999,35695.99999999999,52705.00000000002,33937,62527,38304,0.6201168291497654,0.6542760290556902,0.6083077491285982,12.964356385234389,D+13,11.584497644863001,D+12,-0.03415919990592475,1.3798587403713878
Plymouth and Barnstable,67310.87857762357,47886.7484822203,51275.74674761493,45739.53165654814,65349,52705,0.5535517644467786,0.5843078568159771,0.5285326970253235,6.0986180739747375,D+6,4.1352566736340695,D+4,-0.030756092369198518,1.963361400340668
Second Bristol and Plymouth,41546,30194.99999999999,38187.99999999999,25542.999999999996,37257,35038,0.5153468427968739,0.5791109686232421,0.5992060378779558,3.935096690163764,D+4,7.110731554363836,D+7,-0.06376412582636815,-3.175634864200072
Second Essex,60353.70645529183,31724.32174106317,49360.91680630221,30473.430110353907,55412,34233,0.6181270567237437,0.6554626292234285,0.6182917342310452,12.928946756920801,D+13,12.074373510099612,D+12,-0.03733557249968478,0.8545732468211895
Second Essex and Middlesex,62870.72606831105,41199.16737168682,48588.03163104975,39923.636679541574,58130,43168,0.5738514087148808,0.6041202118128386,0.5489449307468957,8.143477036493207,D+8,6.130420278226567,D+6,-0.030268803097957764,2.0130567582666403
Second Middlesex,79572.24831873778,14866.584494775509,71496.56832142762,14687.102903490173,71182,15406,0.8220769621656581,0.8425797518682564,0.8295836938164247,32.50176308863265,D+33,31.89215973713325,D+32,-0.020502789702598334,0.6096033514993984
Second Plymouth & Norfolk,51187.48750337702,25090.153206859308,42474.11334104772,24506.627039964023,43749,27556,0.6135474370661244,0.6710680486019247,0.634124273626104,13.552147878024511,D+14,13.633780224188952,D+14,-0.05752061153580035,-0.08163234616444015
Second Suffolk,66971.21201193817,4927.730686117307,64729.403293373514,3165.5451558484065,52563,6917,0.8837088096839274,0.9314630994392831,0.953375836816256,40.2087692868763,D+40,42.464854338119416,D+42,-0.04775428975535567,-2.2560850512431188
Second Worcester,50193.00725987316,27831.86172577263,40258.334204320054,25987.15134219386,44654,29458,0.6025205094991365,0.6432949893079237,0.607714380416955,11.567678489701482,D+12,10.950011628176581,D+11,-0.040774479808787234,0.617666861524901
Suffolk and Middlesex,64302.17504489162,11951.40458482705,57288.528826854345,11791.514726937608,55910,12076,0.8223751948930662,0.8432676256923003,0.8293064954749823,32.56648583953291,D+33,31.917450390445335,D+32,-0.020892430799234085,0.6490354490875738
Third Bristol & Plymouth,50274.552102866335,45249.72086793464,39619.23948566836,40727.32386820252,46820,51555,0.4759339263024142,0.5263013320000229,0.4931043448762468,-0.7007936319190278,R+1,-0.6321817294270393,R+1,-0.050367405697608725,-0.06861190249198845
Third Essex,55474.29354470816,29122.678258936838,46796.08319369779,27652.5698896461,46375,31500,0.5955056179775281,0.6557479820136773,0.628568567134592,11.911769508162951,D+12,12.556829006040582,D+13,-0.06024236403614924,-0.6450594978776305
Third Middlesex,67465.76313571227,23978.13093565608,55670.37538634447,23473.230682776062,61530,23900,0.7202387919934449,0.7377831381837031,0.7034096391529648,22.155391589982187,D+22,20.437853587611656,D+20,-0.017544346190258242,1.7175380023705316
Third Suffolk,51820.93507319628,18358.169197070183,44419.37163948989,17397.71068458983,43672,20936,0.6759534422981675,0.7384097533309757,0.7185614391604362,20.071702724081298,D+20,21.16571853194894,D+21,-0.06245631103280824,-1.0940158078676419
Worcester & Hampden,51691.099061184854,48911.32567173843,39330.9501456782,44851.26578180639,48054,52989,0.475579703690508,0.513815638126149,0.46721210308312955,-1.3099412039348057,R+1,-2.48726144118307,R+2,-0.03823593443564105,1.177320237248264
Worcester & Hampshire,48777.74037921096,42350.68159834416,37833.13954415961,38621.11706301682,45785,45488,0.501626987170357,0.535263744512386,0.4948467387309391,1.0676722896603486,D+1,-0.0632337426677676,EVEN,-0.03363675734202898,1.1309060323281162
Worcester and Middlesex,54338.212638838784,34295.14839829494,43210.35778534281,32793.76230333256,49824,36246,0.5788776577204601,0.6130672695134884,0.5685265184956882,8.846797761372272,D+9,7.504812989828292,D+8,-0.034189611793028374,1.3419847715439808
